text,community_id,community_name,perplexity
"this weekend is the last chance to catch your early bird tickets for the 3rd international keto live conference `` ketogenic metabolic therapies future prevention & ; treatment of ncd '' june 12th 16th , register today at",1,Keto and Diet,2.1985952614045345e-08
"make dinner the smallest meal . even if you cant eat an early dinner , try to make breakfast and lunch the bigger meals and dinner the smallest . eating late makes you less glucose tolerant so the body burns less fat than if you had the same food earlier .",1,Keto and Diet,1.1472552330360489e-07
"millennial doctors exercise & ; diet plans dont work , you need a pattern of movement and eating you can sustain patient can you help me with a movement & ; eating pattern ? millennial doctor i dont know how , i have only 7 minutes but i can e-prescribe you ozempic",1,Keto and Diet,1.0068927167594666e-06
"exercise accounts for only 50 % of weight loss , follow for tips on healthy eating that will help you complete the rest of the weight and get a healthier physiquehope this is useful ! if so , feel free to share , like , save and tag friends .",1,Keto and Diet,1.0978497755331773e-07
. marchs 24-hr fast done . im grateful for the mindset shift from fasting is a penance to fasting is how i clean the temple at a cellular level . is the app ive kept after trying most of the other apps .,1,Keto and Diet,1.313139819103526e-07
"one of the best conversations i 've hosted on and by far the most heated . is obesity a matter of willpower or genetics ? and is ozempic is a silver bullet or an expensive band aid ? grateful to , ,",1,Keto and Diet,2.0564975500292352e-08
kan ketogene voeding helpen bij jicht ? jicht is een pijnlijke aandoening die zorgt voor ontstekingen in je gewrichten . de behandeling is vaak nog steeds gebaseerd op het bestrijden van de symptomen . zou dit ook anders kunnen ? aankomende woensdag in de keto podcast .,1,Keto and Diet,1.7105998040278791e-06
"twitter tengok dulu , dah lama x dpt order tower , keto nk buat . siap mintak smmar berdiri kt tepi bg semangat harap customer puas hati la .",15,Keto and Diet,6.402186158993572e-08
"wearing ankle weights while walking or working out can have a big impact on your fitness routine . benefits include improved balance , more burned calories , and the ability to build muscle quicker . they can also help freshen up any existing workout",1,Keto and Diet,1.994511045211312e-08
"today , i fasted for 20 1/2 hours . i fast at least 16-18 hours dailythat means no eating after ~6pm until about noon the next day . fasting has been key to profound improvement in about every dimension of my health , including 91 lbs . lost . try it .",1,Keto and Diet,1.8245467572342024e-06
dinner tonight was a vegetarian ( made with quorn ) shepherds pie topped with cheddar . i poured my drink into a big gin & ; tonic glass with lime & ; cucumber to try to fake myself into thinking i was drinking a g & ; t .,1,Keto and Diet,4.222985978685756e-07
"we 're starting a new 60-day mindset program with psychotherapist natalie west ! unlock your mindset to achieve your weight loss and health goals ! start date feb 28th , 2023 . sign up here",1,Keto and Diet,8.732140344136496e-09
"i save $ 2000 a month being off of psychiatric medications . i also am going to live 10-20 years longer because they cause long-term harm ( metabolic ) ketosis is amazing , there is hope . sometimes ! meds are warranted",1,Keto and Diet,6.086736448196461e-08
"these parmesan keto croutons are perfect in a low-carb salad , soup or simply enjoyed as a keto snack . they 're loaded with flavor and have a crunchy texture while being super low in carbs .",1,Keto and Diet,3.886857058432725e-08
