ID,Similarity_score,Community
1,0.5,Body Image
2,0.3333333333333333,Body Image
3,0.9090909090909091,Body Image
4,0.3333333333333333,Body Image
5,0.4444444444444445,Body Image
6,0.6666666666666666,Body Image
7,0.14285714285714288,Body Image
8,0.30769230769230765,Body Image
9,0.6666666666666666,Body Image
10,0.28571428571428575,Body Image
11,0.24615384615384614,Body Image
12,0.4615384615384615,Body Image
13,0.6909090909090909,Body Image
14,0.4615384615384615,Body Image
15,0.11111111111111113,Body Image
16,0.5,Body Image
17,0.9473684210526316,Body Image
18,0.5714285714285715,Body Image
19,0.9655172413793104,Body Image
20,0.28571428571428575,Body Image
21,0.9090909090909091,Body Image
22,0.9387755102040817,Body Image
23,0.26666666666666666,Body Image
24,1.0,Body Image
25,0.14285714285714288,Body Image
26,0.08695652173913045,Body Image
27,0.09708737864077668,Body Image
28,0.3529411764705882,Body Image
29,0.2222222222222222,Body Image
30,0.5,Body Image
31,0.28571428571428575,Body Image
32,0.27777777777777773,Body Image
33,0.32,Body Image
34,0.5,Body Image
35,0.14285714285714288,Body Image
36,0.5,Body Image
37,0.9090909090909091,Body Image
38,0.9,Body Image
39,0.2608695652173913,Body Image
40,0.9090909090909091,Body Image
41,0.6551724137931034,Body Image
42,0.30769230769230765,Body Image
43,0.9473684210526316,Body Image
44,0.15384615384615385,Body Image
45,0.4615384615384615,Body Image
46,0.3,Body Image
47,0.6666666666666666,Body Image
48,0.3333333333333333,Body Image
49,0.8928571428571428,Body Image
50,0.6666666666666666,Body Image
51,1.0,Body Image
52,0.41935483870967744,Body Image
53,0.3157894736842105,Body Image
54,0.25925925925925924,Body Image
55,0.23255813953488372,Body Image
56,0.5,Body Image
57,0.9387755102040817,Body Image
58,0.3125,Body Image
59,0.21739130434782608,Body Image
60,0.2553191489361702,Body Image
61,0.29411764705882354,Body Image
62,0.5714285714285715,Body Image
63,0.31249999999999994,Body Image
64,0.36363636363636365,Body Image
65,0.5714285714285715,Body Image
66,0.9387755102040817,Body Image
67,0.5,Body Image
68,0.2352941176470588,Body Image
69,0.3181818181818182,Body Image
70,0.27586206896551724,Body Image
71,0.32835820895522383,Body Image
72,0.22222222222222224,Body Image
73,0.6666666666666666,Body Image
74,0.27777777777777773,Body Image
75,0.3157894736842105,Body Image
76,0.2727272727272727,Body Image
77,1.0,Body Image
78,0.6666666666666666,Body Image
79,0.24489795918367346,Body Image
80,0.22222222222222218,Body Image
81,0.34285714285714286,Body Image
82,0.24000000000000002,Body Image
83,0.2580645161290323,Body Image
84,0.2962962962962963,Body Image
85,0.2558139534883721,Body Image
86,0.7499999999999999,Body Image
87,0.2857142857142857,Body Image
88,0.4444444444444444,Body Image
89,0.3846153846153846,Body Image
90,0.2222222222222222,Body Image
91,0.5,Body Image
