text,community_id,community_name,perplexity
"discount up to 31 % off sports research organic mct oil derived from non-gmo organic coconuts | great in keto coffee , tea , smoothies & ; salad dressings | non-gmo project verified & ; vegan certified unflavored",11,Spam,1.834585390270149e-07
01 shop spedy weightloss rixari skin secrets x phyna,14,Spam,2.1717709907638098e-23
my fave say make she go chop first . i love me some phyna phyna x spedy weightloss congratulations phyna,14,Spam,5.724962062574057e-13
congratulations phyna phyna x spedy weightloss n,14,Spam,7.141289252183324e-29
tomorrow diamond brand announcing beauty your winner can never cheap cheap low budget brands beauty the top babe not razz mumu hype girl beauty tukura brand power shop spedy weightloss rixari skin secrets x phyna martha pastor,14,Spam,2.0523163613006545e-08
shop spedy weightloss rixari skin secrets x phyna,14,Spam,6.69784323730163e-25
"streaming live on dove television is healthy living . join oluwafemi oduntan the host and the guest simidu stephen ( head of environmental health section , rccg ) as they discuss on `` how to get rid of wall geckos '' . remain blessed .",11,Spam,3.256909621995874e-07
"i 'm blessed to be partnering with spedy weightloss as their new brand ambassador . a brand that aligns with my personal goal to stay fit , and burn body fat safely and conveniently . it time to speedily burn fat from this beautiful body & ; make it even more beautiful",14,Spam,1.9362462353456067e-06
discount 24 % off deal rip van wafels dutch caramel & ; vanilla stroopwafels healthy snacks non gmo snack keto friendly office snacks low sugar ( 3g ) low calorie snack 48 pack,11,Spam,4.4935317689009935e-09
mama phyna and papa phyna are visiting so phyna no dey do snap rough rough like by now we cough 900times and rush 2million times phyna x spedy weightloss congratulations phyna,14,Spam,1.873491051185283e-08
congratulations more to come my baby phyna x speedy weightloss congratulations phyna,14,Spam,7.4817779586050275e-22
good morning and happy new week . do you struggle with weightloss ? unhealthy eating habits ? tummy reduction ? we can help you ! ! book a consultation with our dietician this week only whatsapp and get a free follow up session .,11,Spam,2.066509381393189e-07
this video is my new obsession congratulations phyna phyna x spedy weightloss,14,Spam,9.047645317672756e-20
best in trending phynation phyna x spedy weightloss congratulations phyna,14,Spam,4.993271114785406e-19
if you are a high value brother please stop eating hot dogs . it very unhealthy you do n't need that in your system .,11,Spam,1.860652907789695e-12
"she won the show and has refused to leave small for any other person since then , shes always on top , always no.1 phyna cut soap for me phyna x spedy weightloss congratulations phyna",14,Spam,1.0448850673583364e-08
the brand is proud of their ambassador phyna x spedy weightloss congratulations phyna,14,Spam,9.095404012055184e-19
phyna stop it joor the bragging rights is too much phyna x spedy weightloss congratulations phyna,14,Spam,1.9440409026495745e-14
pzm1tfr . if you love huge boobs you are in the right place ! 1670602274 .,12,Spam,2.5029056179514363e-14
congratulations phyna . more wins queen .. phyna x spedy weightloss congratulations phyna,14,Spam,4.753670330105056e-17
thought they said her parents had a better life already phyna x spedy weightloss congratulations phyna,14,Spam,1.5633609021622796e-16
this laughter will never depart from you phyna badest ambassador in town congratulations queen phynations are so proud of you keep making us proud phyna x spedy weightloss congratulations phyna,14,Spam,2.6942672537444423e-09
phyna x spedy weightloss congratulations phyna the spedy is speeding,14,Spam,7.4817779586050275e-22
phyna on top trends congratulations phyna phyna x spedy weightloss,14,Spam,2.5978051423689655e-21
some one just called me on phone that my girl is trending on twitter who deyyy ! ! phyna my number one ! ! child of grace ! ! my one and only alpha winner ! ! phyna na their mate ! shop spedy weightloss shop rixari skin secret,14,Spam,1.701957671684795e-06
"the end of years sales is here ooo , no time to waste . all roads leads to spedy weightloss .. christmas is coming , do n't be walking around with big tummy ooo , get snatched the right way .. pass it on farm with queen phyna ultimate ambassador phyna",14,Spam,1.1010650950993297e-06
phyna x spedy weightloss congratulations phyna . we dey pop jampeign,14,Spam,5.069369663188753e-19
e reach phyna turn to partner with vado all of una dey edit am phyna x spedy weightloss congratulations phyna,14,Spam,1.021613241052044e-12
congratulations phyna phyna x spedy weightloss k,14,Spam,7.141289252183324e-29
if you are not on tiktok bro you are missing party and do n't forget the debate shop spedy weightloss rixari skin care x phyna though,14,Spam,1.3766895956557335e-10
if you like own everything in the whole wide world do n't ever come for phyna because phynation will come for you and you go collect wotowoto phyna x spedy weightloss congratulations phyna,14,Spam,2.7582716555230042e-08
are women more at risk for stis than men ? dr ilori explains this and more in this episode of click here to watch the full video,11,Spam,6.627165721577455e-13
roll out tweets and retweet phyna x spedy weightloss congratulations phyna,14,Spam,1.6636929804685108e-17
"in all the male celebrity connections phyna has been in its only kizz daniel that collected yansh , what did you put in your stew . phyna x spedy weightloss congratulations phyna",14,Spam,2.914698038480878e-09
"where are the people that trolled her tummy last night please come out and celebrate with us , our collective prayers has been answered oo . please dont be shy come out with your bloated evidence we have tea for you . phyna x spedy weightloss congratulations phyna",14,Spam,1.9362462353456067e-06
how to save money with free invoicing software ? here are 5 easy tips ! avis rixari skin secrets x phyna afrikaans jack shop spedy weightloss,14,Spam,3.4345467442298266e-11
what is sweatcoin sweatcoin is a free mobile app that counts your steps and turns them into a digital currency called sweatcoins . ~~~~,11,Spam,2.882348179578109e-11
phyna ooo phyna x spedy weightloss congratulations phyna,14,Spam,1.3783363962320714e-22
still struggling ? slim down swiftly and safely . call sws ( swift weightloss system ) clinic for confidential consultation with tests call on 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm .,11,Spam,2.172977815462218e-07
"the open economy of movement is enabled by sweat . it is a new market , a new economy , in which anyone , anywhere , can be rewarded in increasingly attractive ways , for any form of physical activity .",11,Spam,1.6470761421416567e-09
`` bricked up midriff korone '' post,12,Spam,2.659616500412651e-26
"drop this merch na , who deeey ! i told you all that mama and papa phyna dey house thats why we havent coughed and rushed .. now she run come main door cough and rush for us shop spedy weightloss rixari skin care x phyna",14,Spam,1.3639482858707197e-06
queen n more phyna x spedy weightloss congratulations phyna,14,Spam,1.1407897016256991e-24
"discount $ 15.99 and under rip van keto wafer cookies healthy snacks non gmo snack keto snacks low carb , low sugar ( 2g ) , low calorie and vegan snack 16 count",11,Spam,7.677551039364516e-09
"its so nice when you are building a luxurious lifestyle for yourself with all efforts & ; you also have a routine youre following to have a good health to enjoy the success when it comes . here are some few tips you can engage before work on daily basis ,",11,Spam,6.88905075207913e-08
"fit father programme for the busy father by men health experts lose belly fat and gain fitness for confidential consultation with tests call 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm aculaser weightloss clinic , 3rd parklands avenue , nairobi , kenya .",11,Spam,4.424326220942021e-07
haters even you sef know say phyna deserve every good thing shes getting rn shop spedy weightloss rixari skin care x phyna,14,Spam,1.0275153991545771e-11
shop spedy weightloss rixari skin secrets x phyna,14,Spam,6.69784323730163e-25
join phyna on her weight loss journey speedy weightloss got you covered the speedy is speedying phyna x spedy weightloss congratulations phyna,14,Spam,1.9411130688928857e-11
"she want to hug bogbrother , biggy is high time you show ooo shop spedy weightloss rixari skin secrets x phyna",14,Spam,1.0063430123941064e-11
show me your ocs with .... * pulls paper out of a hat * exposed midriff,12,Spam,1.0788387333937106e-16
i hope we will patronize guys we have rixari and speedy weight loss now to purchase please 50 phyna x spedy weightloss congratulations phyna,14,Spam,4.098784159300983e-11
shena phyna x spedy weightloss congratulations phyna,14,Spam,1.452422102485113e-25
they want phyna to be their internet model aka classy kween doing photoshoot daily that brings in no income but rather take a lot of money away from account . babe said no . my talent is my focus because mmbm . shop spedy weightloss rixari skin secrets x phyna,14,Spam,1.417215003129968e-06
"go to phyna ig and watch was it called advertisement , no be the one person go dey talk as if e dey sing like nursery school children . the advertisement over jigg ahbeg phyna x spedy weightloss congratulations phyna",14,Spam,3.407282918033161e-07
today alone a video with kizz daniel bought her parents a car signed a new deal with speedy weight loss bragging rights up and down ! a winner with grace ! phynation arent you proud ? phyna x spedy weightloss congratulations phyna,14,Spam,3.407282918033161e-07
"the tears on this tl is once again sponsor by my baby cry today , cry tomorrow , cry forever and do n't forget to always drink spedy weightloss and rub rixari skincare . phynation will always love you , we have a big heart like our baby . follow phynaunusual ig cartoonize phyna",14,Spam,1.101901261790772e-06
"^ , ,",11,Spam,0.0
"gentlemen , dont think spedy is for women only . yall need to shed the pot belly and dangling arms phyna x spedy weightloss congratulations phyna",14,Spam,1.015225403744324e-10
"discount $ 15.99 and under rip van keto wafer cookies healthy snacks non gmo snack keto snacks low carb , low sugar ( 2g ) , low calorie and vegan snack 16 count",11,Spam,1.091458301516468e-08
"you announced your deal . trend no trend , buzz know get , engagement mbah ! instead of hopeless fans to try , they are busy comparing pic and advert . even queen tee used makeup for unik advert . so , wetin dey sup ? congratulations phyna phyna x spedy weightloss",14,Spam,2.7874793886439875e-06
phyna the winner phyna x spedy weightloss congratulations phyna,14,Spam,8.491324027347938e-24
e choke congratulations phyna currently trending at no:6 in nigeria with 78.3k tweets . phyna x spedy weightloss congratulations phyna,14,Spam,3.5130783698766876e-11
shop spedy weightloss rixari skin secrets x phyna,14,Spam,6.69784323730163e-25
chokacholic shop spedy weightloss rixari skin secrets x phyna shop spedy weightloss rixari skin secrets x phyna,14,Spam,8.780996763047e-12
phyna x spedy weightloss . congratulations phyna yes ooo,14,Spam,1.3428271794243046e-22
"5 teams are fighting phynation but i only see one fanbase on trend table with over 4 tags , una no reach phyna x spedy weightloss congratulations phyna",14,Spam,3.9982825383866327e-10
"fit father programme for the busy father by men health experts lose belly fat and gain fitness for confidential consultation with tests call 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm aculaser weightloss clinic , 3rd parklands avenue , nairobi , kenya .",11,Spam,1.4019107084095594e-06
guys did phyna sign rixari twice ? ? because its only her thats on everyones lips rixari run my girl her money the second time because its seems like its a figure head that signed papers phyna x spedy weightloss congratulations phyna,14,Spam,4.760186129715294e-07
"check out this free app it pays to walk , , , , , , ,",11,Spam,5.503811096483424e-22
phynation ! lets focus ! no one is going to ride on our wings to soar . we are the greatest fanbase ever and thats our power ! focus on phyna in a positive way ! god help us shop spedy weightloss rixari skin secrets x phyna,14,Spam,1.3639482858707197e-06
keep winning phyna . phyna x spedy weightloss congratulations phyna,14,Spam,1.932387993630873e-22
midriff s,12,Spam,0.0
one thing about that wife of mine is that shes too nice babe i need you to return the same energy baby especially to the beggar and the yeye editor phyna x spedy weightloss congratulations phyna,14,Spam,1.6722298212812348e-08
"big brother , we know were proud of phyna , the winner in the house but ai n't even more proud of her post show ? we know are shop spedy weightloss rixari skin care x phyna",14,Spam,1.9269618789508065e-08
looking at the table this morning gives me chills phynations to the world congratulations phyna phyna x spedy weightloss,14,Spam,1.491086036109826e-13
who did this ? it cute thou phyna x spedy weightloss congratulations phyna phyna x spedy weightloss congratulations phyna phyna x spedy weightloss congratulations phyna phyna x spedy weightloss congratulations phyna,14,Spam,1.8777939203573626e-07
03 shop spedy weightloss rixari skin secrets x phyna,14,Spam,5.188108615115175e-24
phyna and ollie are so cute see them vibing together like sisters but phyna give your phone to ollie youre driving baby shop spedy weightloss rixari skin secrets x phyna,14,Spam,1.2615402056326275e-09
phyna please we need a movie this advertisement jigg i was even waiting for episode two congratulations my queen of talents more to come phyna x spedy weightloss congratulations phyna,14,Spam,9.53698342520681e-10
your red is .... iye yeyeye shop spedy weightloss rixari skin secrets x phyna,14,Spam,3.06586963390483e-14
what is sweatcoin sweatcoin is a free mobile app that counts your steps and turns them into a digital currency called sweatcoins . ^^^^^^^,11,Spam,2.4815202670502856e-10
iyeyeyeee iyeyeyeeye iyeyeyeyeee .. komalojabo money wey go come ee go come money wey go come ee go come iyeyeye komalojabo . shop spedy weightloss rixari skin secrets x phyna,14,Spam,1.417215003129968e-06
"it pays to walk . healthier planet . healthier , wealthier you . ^ * , ,",11,Spam,5.227458870896239e-18
abeggg ! ! my fave is talented shop spedy weightloss rixari skin secrets x phyna,14,Spam,3.1301200475693843e-15
wow congratulations dear phyna x spedy weightloss congratulations phyna,14,Spam,4.042088519168828e-25
so the rixari deal pained them phyna x spedy weightloss congratulations phyna,14,Spam,3.247016637672033e-18
"when your fave no get bragging rights . what to do , use another other peoples faves deal to troll their perceive enemy . this bbn ehn , many of una go swallow una shit . phyna x spedy weightloss congratulations phyna",14,Spam,2.495388002898835e-07
whenever they drag phyna in the morning something good always happen to her . you ca n't fight grace because phyna is a child of grace congratulations phyna on your latest ambassadorial deal phyna x spedy weightloss congratulations phyna,14,Spam,1.900102688523475e-07
"and shukura fans ca n't prove the source of there faves money but steadily dragging phyna , one said modelling and i asked since she won that miss thing have you ever seen her on stage , she gave a hilarious reply phyna x spedy weightloss congratulations phyna",14,Spam,1.1794771808126825e-06
spedy weightloss sales go check on phyna story use phyna as promo code when you order thandolwethu phyna in sa phyna second female winner,14,Spam,8.492838377005539e-11
if i tell you and say i 'm not up and dancing i 'd be lying shop spedy weightloss rixari skin secrets x phyna,14,Spam,8.780996763047e-12
"lets do this again sometime guys , phyna to the world phyna x spedy weightloss congratulations phyna",14,Spam,2.6222861027242785e-15
still struggling ? slim down swiftly and safely . call sws ( swift weightloss system ) clinic for confidential consultation with tests call on 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm .,11,Spam,1.846155015527984e-07
wat saying thou we r trending no 5 in gh congratulations phyna phyna x spedy weightloss,14,Spam,2.6683098496715777e-15
happy birthday to me phyna x spedy weightloss congratulations phyna,14,Spam,1.5705759928181696e-23
"yall can tell spedy weight loss is happy with phynation , instagram story is filled with phynation same as main page phyna x spedy weightloss congratulations phyna",14,Spam,2.0264367961431162e-09
`` men who have diabetic or dealing with a cardiovascular health condition may experience erectile dysfunction . '',11,Spam,1.4205819316088814e-15
congrats my 2 queens more is coming big bella and elephant phyna bella x fastest cake phyna x spedy weightloss,14,Spam,1.491086036109826e-13
"one thing about , ,we get the work done congratulations phyna phyna x spedy weightloss congratulations phyna",14,Spam,1.9440409026495745e-14
just got my package from spedy weightloss . thank you for your plug . bye bye to belly fat follow phynaunusual ig phyna tht peoples choice,14,Spam,7.862176187867219e-11
phyna x spedy weightloss congratulations phyna,14,Spam,6.87638390779049e-30
phynation the odogwu fan base of our time i hail wona ohhh congratulations phyna phyna x spedy weightloss,14,Spam,2.5643458710644666e-12
"fit father programme for the busy father by men health experts lose belly fat and gain fitness for confidential consultation with tests call 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm aculaser weightloss clinic , 3rd parklands avenue , nairobi , kenya .",11,Spam,1.4025098380443524e-06
words of wisdom shop spedy weightloss rixari skin secrets x phyna,14,Spam,3.1573209331336305e-21
"o ga o , see as everywhere dry ! my girl decided to be quiet today and bloggers no see anything to post . i hear say amaka just sign deal , why is the tl so dry . preeknavy what going on now ? phyna x spedy weightloss congratulations phyna",14,Spam,3.023187218786916e-06
phyna makes us proud on the daily many ca n't relate phyna x spedy weightloss congratulations phyna,14,Spam,1.5376195867770892e-14
more money in the back phyna x spedy weightloss congratulations phyna,14,Spam,6.860119012631966e-21
las las they gon cryyyy phyna x spedy weightloss congratulations phyna,14,Spam,2.2093803909750482e-17
happy birthday phyna x spedy weightloss congratulations phyna,14,Spam,2.223337439003357e-26
phynation we can do it phyna x spedy weightloss congratulations phyna,14,Spam,1.2525476443068238e-19
the sped is speeding with one and only spedy weightloss ! ! ! get that dream body ever yarned with spedy weightloss order with and with spedy wieghtloss on ig ! ! ! phyna x spedy weightloss congratulations phyna,14,Spam,6.425365768336633e-07
e pain you ! e sweet us ! ! ! phyna the yardstick phyna x spedy weightloss congratulations phyna,14,Spam,1.0935204158195669e-13
the video is on phyna x spedy weightloss congratulations phyna,14,Spam,3.7679197715364553e-22
phyna just told us her only problem in this life she came as a winner huh what a favorite shop spedy weightloss rixari skin secret x phyna,14,Spam,8.817958863094333e-11
"fit father programme for the busy father by men health experts lose belly fat and gain fitness for confidential consultation with tests call 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm aculaser weightloss clinic , 3rd parklands avenue , nairobi , kenya .",11,Spam,1.7706117887428263e-06
`` iye ye ye ! '' shop spedy weightloss rixari skin secrets x phyna,14,Spam,7.784116847632367e-16
they are taking notes baby ! ! ! ! shop spedy weightloss rixari skin secrets x phyna,14,Spam,6.27150976262287e-16
me right now for stanning correct this year . a queen and more . we deh chop belle full shop spedy weightloss rixari skin secrets x phyna,14,Spam,8.462003320275358e-11
