text,community_id,community_name,perplexity
snack & ; shake inspiration from `` . delicious and easy to make chocolate-chai protein balls . eating healthy does n't have to be difficult ! vegan foodisfuel protein vegetarian paleo keto healthyeating healthfood,4,Healthy lifestyle and Weight Loss,4.6896076355551486e-08
"all profits from the sale of items in the matthews friends keto-shop go directly to funding further ketogenic resources for the families we support order your ketocooking book , t-shirts and more in the keto-shop on our website",4,Healthy lifestyle and Weight Loss,1.1472552330360489e-07
i did keto for a whole year and lost 60lbs on it about 2019 because my gyno recommended it so i can loose weight and have better chance of getting pregnant . that shit fucked up my stomach please when starting any diet please have your dr keeping on eye in you . i lost weight,4,Healthy lifestyle and Weight Loss,1.1495293392727035e-06
"vegans , do n't forget about b12 ! this essential nutrient is primarily found in animal products but can be obtained through fortified foods or supplements . make sure to include b12 in your diet to support a healthy nervous system and red blood cells .",4,Healthy lifestyle and Weight Loss,1.1032992830450897e-07
still struggling ? slim down swiftly and safely . call sws ( swift weightloss system ) clinic for confidential consultation with tests call on 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm .,4,Healthy lifestyle and Weight Loss,1.2696439455339714e-07
snack & ; shake inspiration from `` . delicious and easy to make chocolate-chai protein balls . eating healthy does n't have to be difficult ! proteinballs vegan protein healthysnacks paleo keto healthyeating,4,Healthy lifestyle and Weight Loss,4.482893700696877e-08
"do not consume too much pepper and spices.whenever your thoughts get stimulated , or there is occurrence of bad thoughts , drink water and meditate for 5min . doing for the first time itself will control your thoughts by 80-90 % says saint gurmeet ram rahim ji",13,Healthy lifestyle and Weight Loss,3.11981102640857e-06
3 month online client transformation ! siddharth has lost 10kgs ( 78kgs 68kgs ) in the span of 3 months . what worked the best for him however was being open to coach gaurav feedback and relentlessly executing it .,4,Healthy lifestyle and Weight Loss,8.400072459835428e-08
"ready to start a keto diet but do n't have a lot of time ? our ultimate guide to starting a keto diet for beginners has everything you need , including easy-to-follow meal plans and quick and delicious recipes .",4,Healthy lifestyle and Weight Loss,4.43364172042493e-08
"a healthy and nutritious diet , daily exercise and yoga , sufficient sleep are the foundations of a a healthy lifestyle keeps you fit , energetic and it reduces risk of several diseases . follow the tips given by saint gurmeet ram rahim ji",13,Healthy lifestyle and Weight Loss,4.441518285602797e-06
wow wow wow ! ! ! have you ever heard about this great and fabulous website [ alpilean ] where you can get the alpine secret for heathy weightloss . it one of the only products in the world with a 6 alpine click the link to known more ..,4,Healthy lifestyle and Weight Loss,4.960471642334596e-07
struggling with digestion issues or looking for an easy way to lose weight ? cumin water may be the answer you 're looking for ! goulson insurance service contact +1- ( 818 ) 472-5484 visit,4,Healthy lifestyle and Weight Loss,2.349467465023736e-08
snack & ; shake inspiration from `` . delicious and easy to make chocolate-chai protein balls . eating healthy does n't have to be difficult ! vegan foodisfuel protein vegetarian paleo keto healthyeating healthfood,4,Healthy lifestyle and Weight Loss,8.144005647636733e-08
"try lemon juice or lemon water . first , you can try to drink lemon juice in the morning . eat dinner earlier . try to eat dinner very early a good aim is before 7pm , and then eating nothing after that point . avoid excess salt",4,Healthy lifestyle and Weight Loss,6.402186158993572e-08
have you tried oven roasted green beans ? theyre a simple side dish that is easy to make and one of my favorite ways to enjoy fresh green beans . this recipe comes out tender and is loaded with the fresh flavor of green beans . free keto diet recipes,4,Healthy lifestyle and Weight Loss,1.755060310415502e-07
how about we choose today to move closer to our goals of getting healthy and losing weight ! do n't wait until january 1st to start your journey ! stat today ! call me or message me for more info on the getfit21 program !,4,Healthy lifestyle and Weight Loss,5.229869515233077e-08
"saint gurmeet ram rahim ji tells that if you want to lead a healthy and happy life , then do pranayama for at least 15 minutes daily and along with this do devotion to god , do not consume junk food at all so that the thoughts are not agitated .",13,Healthy lifestyle and Weight Loss,3.11981102640857e-06
"keto meatballs ( low carb meatballs ) free printable low carb & ; keto food list get it now this post may contain affiliate links , which help keep this content free . ( full expert",4,Healthy lifestyle and Weight Loss,5.954223336601672e-09
snack & ; shake inspiration from `` . delicious and easy to make chocolate-chai protein balls . eating healthy does n't have to be difficult ! vegan foodisfuel protein vegetarian paleo keto healthyeating healthfood,4,Healthy lifestyle and Weight Loss,3.1258650778909214e-08
cavitation is a technique that reduces body fat and allows cellulite to be removed from your body selectively & ; safely while being non invasive . we are fully qualified and insured . tel 01793 627522 or visit,4,Healthy lifestyle and Weight Loss,1.588865217172497e-08
"[ homemade ] cinnamon mousse , cinnamon cake , rum-brown sugar jelly , rum-vanilla whipped ganache , white chocolate decor , cherrywood smoke infusion , and gin scent . inspired by a song lyrics .",4,Healthy lifestyle and Weight Loss,6.041831479564053e-09
"'author `` has done it once again .. without question , a page turning self-help book that is as entertaining as it is enlightening . ' free on kindleunlimited . iartg asmsg kindle ebooks stressmanagement healthyliving mentalhealth",4,Healthy lifestyle and Weight Loss,7.732862741249846e-07
visit `` for delicious ways to use high on life superfoods products like this super easy avocado mousse ! highonlifesuperfoods superfoods fitness healthyrecipes health healthyeating protein energy paleo keto,4,Healthy lifestyle and Weight Loss,1.1763044227564025e-07
resting metabolic rate ( rmr ) is the number of calories your body burns at rest to maintain basic bodily functions knowing your rmr can help you understand how many calories you need to consume in order to maintain or lose weight .,4,Healthy lifestyle and Weight Loss,7.518520916960371e-09
"cheesecake fat bombs are the perfect quick snack when you need a boost of energy during the day . keto-friendly and loaded with flavor , these low-carb fat bombs are sure to satisfy your sweet tooth ! free keto diet recipes",4,Healthy lifestyle and Weight Loss,9.97991946860566e-08
"saint gurmeet ram rahim ji always tells control your thoughts by eating simple food , obesity increases by eating fried food , those who adopt pranayama along with meditation , get the gift of a healthy life .",13,Healthy lifestyle and Weight Loss,5.959120308318688e-09
low carb/keto sweet peshawari naan this naan is a classic sweet naan which is filled with nuts and topped with fennel seeds . the combination of sweetness with nuts and fennel seeds is awesome . this is the best ever filling snack you can have in keto .,4,Healthy lifestyle and Weight Loss,9.704807553134742e-07
"i love snacking , so losing weight has always been very difficult , even when i do eat healthier meals . zotrim helped me to cut out the snack cravings for good and the weight just dropped off ! click here",4,Healthy lifestyle and Weight Loss,1.5195045222071712e-08
"uk high street are set to sell a controversial jab used by some famous people , including elon musk . , or , is a prescription drug that blunts the appetite . but , experts warn it is not a quick fix . bbc news",4,Healthy lifestyle and Weight Loss,4.009145726513452e-08
"we just published a new on our website , we are pretty sure you will enjoy it . let us know what you think about it , and do n't forget to claim your new favorite recipe book to start off your journey !",4,Healthy lifestyle and Weight Loss,1.0805463190877164e-08
"consume food as recommended by ayurveda as it tells us the optimal way of living and eating . saint gurmeet ram rahim ji urges do breakfast like a king , lunch like a queen and dinner like a bagger for maintaining healthy body .",13,Healthy lifestyle and Weight Loss,7.135027772164904e-06
"we should always take out time to maintain our physical & ; mental health . to stay fit saint gurmeet ram rahim ji suggests that a meditative practice with pranayama coupled with proper eating habits , are the keys to healthy body .",13,Healthy lifestyle and Weight Loss,5.288175088935532e-07
"armpit fat is one of those things that we dont really talk about . but it something that most of us struggle with at some point in time . we 've got some great tips for how to reduce armpit fat , so give them a try !",4,Healthy lifestyle and Weight Loss,1.1845480685224177e-07
still struggling ? slim down swiftly and safely . call sws ( swift weightloss system ) clinic for confidential consultation with tests call on 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm .,4,Healthy lifestyle and Weight Loss,9.95586901808565e-08
"marie osmond lost the belly fat and 50 pounds ! sometimes life just gets you off track and before you know it , you 're 50 pounds heavier . well , nutrisystem can help to get you back on track .",4,Healthy lifestyle and Weight Loss,1.453163278597458e-08
